bold,kucohort,trcds,abcds,label,domain,assessment
id,ptid,,,Patient Identifier,,
,coenrol_studyid,,,Patient Identifier for the ABC-DS Study,,
redcap_event_name,redcap_event_name,,,Participant visit label,,
redcap_repeat_instrument,redcap_repeat_instrument,,,Name of repeated form,,
visitdt,,,,Date of Visit (m/d/y),,
,visitmo,,,Visit Month,,Clinical
,visitday,,,Visit Day,,Clinical
,visityr,,,Visit Year,,Clinical
scrn_dob,subject_birthdate,,,Patient's birth date,,Clinical
firstname,subject_fname,,,Patient's first name,,Clinical
lastname,subject_lname,,,Patient's last name,,Clinical
sex,sex,,,Patient's biological sex,,Clinical
,final_impression,,,Clinical summary and recommendations,,Clinical
dsmsett2,dsmsett2,,,Total Score,,Down Syndrome Mental Status Exam
dslgtot2,dslgtot2,,,Language Score,,Down Syndrome Mental Status Exam
,dssmtot2,,,Shoebox Memory,,Down Syndrome Mental Status Exam
dsmmtot2,dsmmtot2,,,Memory Score - Down Syndrome Mental Status Exam,,Down Syndrome Mental Status Exam
dsvistt2,dsvistt2,,,Visuospatial Score,,Down Syndrome Mental Status Exam
dscrttfr,dscrttfr,,,Free Recall,,Modified Cued Recall Test
dsccttcr,dsccttcr,,,Cued Recall,,Modified Cued Recall Test
dsadl1,dsadl1,,,Needs help washing or bathing,Activities of Daily Living,NTG-EDSD
dsadl2,dsadl2,,,Needs help with dressing,Activities of Daily Living,NTG-EDSD
dsadl3,dsadl3,,,Dresses inappropriately,Activities of Daily Living,NTG-EDSD
dsadl4,dsadl4,,,Undresses inappropriately,Activities of Daily Living,NTG-EDSD
dsadl5,dsadl5,,,Needs help eating,Activities of Daily Living,NTG-EDSD
dsadl6,dsadl6,,,Needs help using the bathroom,Activities of Daily Living,NTG-EDSD
dsadl7,dsadl7,,,Incontinent,Activities of Daily Living,NTG-EDSD
dslang1,dslang1,,,Does not initiate conversation,Language and Communication,NTG-EDSD
dslang2,dslang2,,,Does not find words,Language and Communication,NTG-EDSD
dslang3,dslang3,,,Does not follow simple instructions,Language and Communication,NTG-EDSD
